Date,Open,High,Low,Close,Volume
2024-07-11,23171.57,23214.61,23116.0,23164.41,328144
2024-07-12,23204.52,23233.02,23190.71,23204.1,634039
2024-07-15,23253.93,23282.89,23240.56,23260.58,480709
2024-07-16,23315.2,23353.95,23260.59,23292.81,738587
2024-07-17,23359.27,23379.09,23333.26,23333.87,359239
2024-07-18,23289.24,23348.38,23273.58,23316.71,235295
2024-07-19,23216.1,23297.43,23176.07,23267.83,143963
2024-07-22,23292.94,23357.17,23269.58,23306.19,785887
2024-07-23,23193.98,23222.39,23145.84,23187.1,893554
2024-07-24,23239.08,23276.2,23229.27,23233.51,190881
2024-07-25,23274.41,23283.91,23220.5,23267.23,855117
2024-07-26,23256.58,23282.04,23163.83,23233.89,644692
2024-07-29,23267.73,23323.82,23231.33,23247.22,497372
2024-07-30,23194.84,23260.86,23150.84,23203.68,373155
2024-07-31,23121.83,23193.36,23116.27,23149.69,275901
2024-08-01,23193.63,23228.21,23182.28,23208.99,397852
2024-08-02,23246.34,23260.25,23178.27,23222.44,658512
2024-08-05,23328.87,23356.68,23299.74,23343.17,826989
2024-08-06,23524.38,23543.31,23483.72,23501.52,698375
2024-08-07,23558.11,23595.49,23511.63,23544.53,151160
2024-08-08,23608.22,23623.86,23561.79,23564.69,546621
2024-08-09,23668.1,23677.75,23639.09,23668.32,394614
2024-08-12,23521.21,23574.25,23464.44,23567.95,845085
2024-08-13,23540.82,23556.26,23455.0,23500.41,842034
2024-08-14,23494.99,23506.55,23447.72,23494.31,355738
2024-08-15,23517.25,23519.95,23481.01,23519.75,465842
2024-08-16,23560.54,23570.94,23470.36,23531.76,379347
2024-08-19,23537.84,23567.97,23536.96,23544.83,279362
2024-08-20,23573.83,23657.8,23563.37,23595.29,824407
2024-08-21,23594.61,23647.31,23546.98,23601.67,182210
2024-08-22,23653.62,23687.92,23575.18,23642.0,888986
2024-08-23,23655.91,23665.72,23612.22,23663.78,188782
2024-08-26,23672.48,23692.11,23619.56,23635.95,570879
2024-08-27,23573.23,23635.46,23546.14,23592.71,172470
2024-08-28,23522.43,23593.66,23490.98,23538.1,756699
2024-08-29,23541.53,23585.85,23473.46,23569.19,662125
2024-08-30,23602.58,23659.91,23500.01,23564.18,851466
2024-09-02,23715.03,23741.51,23625.2,23680.29,208031
2024-09-03,23690.51,23744.9,23636.0,23696.57,218627
2024-09-04,23800.56,23836.91,23793.47,23818.37,354222
2024-09-05,23724.92,23789.6,23718.2,23760.78,607969
2024-09-06,23803.67,23809.5,23744.45,23774.58,765437
2024-09-09,23720.95,23752.73,23681.53,23708.39,300436
2024-09-10,23723.33,23784.3,23650.27,23710.41,834383
2024-09-11,23766.38,23830.26,23717.88,23773.97,725504
2024-09-12,23790.87,23837.47,23728.1,23766.57,256536
2024-09-13,23767.17,23781.01,23725.56,23766.68,320509
2024-09-16,23783.61,23832.8,23754.36,23807.67,312223
2024-09-17,23920.6,23957.18,23892.07,23938.96,691415
2024-09-18,23909.61,23946.51,23885.14,23904.34,201144
2024-09-19,23833.38,23910.71,23801.16,23861.02,215438
2024-09-20,23852.81,23859.13,23835.54,23842.24,146271
2024-09-23,23833.88,23872.32,23782.15,23853.06,547167
2024-09-24,23816.6,23874.91,23791.91,23826.29,593446
2024-09-25,23850.94,23913.92,23820.09,23861.82,246270
2024-09-26,23918.6,23931.05,23902.64,23925.31,490905
2024-09-27,23882.19,23910.61,23867.81,23871.75,573337
2024-09-30,23958.68,24040.32,23932.67,23985.53,654896
2024-10-01,23905.86,23974.15,23877.67,23919.5,483138
2024-10-02,23930.04,23980.77,23905.35,23958.13,357778
2024-10-03,23972.69,24034.9,23911.94,23983.29,160719
2024-10-04,24089.83,24147.73,24063.32,24110.33,339105
2024-10-07,24092.34,24103.14,24073.54,24089.74,779469
2024-10-08,24114.42,24178.25,24061.69,24105.56,124715
2024-10-09,24187.15,24208.93,24116.86,24148.43,592905
2024-10-10,24202.69,24240.16,24132.6,24212.54,162784
2024-10-11,24239.43,24241.09,24179.22,24212.67,553380
2024-10-14,24319.84,24351.11,24301.81,24331.06,178311
2024-10-15,24258.91,24288.43,24217.59,24272.75,200348
2024-10-16,24242.71,24248.32,24189.09,24230.25,592240
2024-10-17,24263.78,24302.48,24218.37,24243.47,343310
2024-10-18,24223.34,24239.02,24163.05,24201.5,887425
2024-10-21,24130.75,24179.28,24114.77,24120.53,311248
2024-10-22,24214.37,24238.37,24178.25,24211.48,139298
2024-10-23,24306.57,24359.17,24234.12,24271.16,523408
2024-10-24,24134.83,24175.79,24092.64,24144.69,859387
2024-10-25,24188.91,24232.47,24174.42,24206.25,250521
2024-10-28,24266.8,24305.77,24200.11,24279.78,754571
2024-10-29,24192.81,24232.02,24181.38,24218.97,881056
2024-10-30,24284.76,24318.58,24270.51,24298.54,482346
2024-10-31,24244.32,24290.79,24171.1,24212.49,883689
2024-11-01,24152.08,24231.13,24138.93,24184.84,267291
2024-11-04,24212.16,24239.52,24171.39,24177.09,122922
2024-11-05,24176.92,24236.46,24131.65,24208.24,336831
2024-11-06,24255.16,24257.77,24222.38,24233.79,322445
2024-11-07,24193.93,24269.13,24156.08,24249.08,149876
2024-11-08,24234.74,24254.07,24174.22,24199.77,796815
2024-11-11,24280.25,24297.74,24270.18,24294.29,414209
2024-11-12,24340.08,24393.96,24334.26,24336.26,860789
2024-11-13,24304.23,24331.91,24286.58,24305.97,364160
2024-11-14,24266.84,24301.37,24202.6,24273.86,412881
2024-11-15,24391.25,24436.8,24309.23,24360.3,350168
2024-11-18,24422.22,24433.8,24364.68,24400.8,351977
2024-11-19,24347.28,24392.15,24310.73,24348.5,225742
2024-11-20,24336.46,24351.76,24285.34,24327.03,698978
2024-11-21,24409.74,24428.19,24355.16,24390.73,237389
2024-11-22,24268.24,24284.6,24216.14,24274.37,273979
2024-11-25,24241.59,24296.27,24196.05,24224.36,365938
2024-11-26,24290.87,24335.68,24221.44,24269.6,892464
2024-11-27,24186.22,24215.39,24184.43,24198.22,656523
2024-11-28,24273.41,24326.73,24261.28,24296.63,595441
2024-11-29,24238.47,24251.42,24205.8,24231.68,337977
2024-12-02,24132.62,24188.81,24080.57,24150.56,740007
2024-12-03,24081.44,24126.9,24023.63,24072.78,662239
2024-12-04,24071.66,24095.05,24057.94,24077.27,145547
2024-12-05,24074.9,24112.61,24033.8,24054.61,136090
2024-12-06,24028.66,24041.56,23994.57,24010.33,851110
2024-12-09,24061.33,24084.76,23995.66,24018.95,128381
2024-12-10,23997.94,24032.33,23940.18,23972.68,548748
2024-12-11,24000.63,24045.93,23954.93,23989.89,594798
2024-12-12,24018.59,24047.65,23988.63,24030.84,356595
2024-12-13,24033.98,24082.22,23967.59,24054.37,150643
2024-12-16,24002.23,24041.27,23973.64,23991.55,864153
2024-12-17,24074.28,24119.7,23980.75,24047.69,123926
2024-12-18,24077.32,24135.39,24048.92,24059.4,590667
2024-12-19,24108.78,24138.11,24093.58,24111.38,485169
2024-12-20,24160.77,24240.56,24127.16,24171.92,721706
2024-12-23,24173.98,24188.1,24064.14,24150.63,220292
2024-12-24,24204.84,24251.88,24176.74,24199.63,198681
2024-12-25,24123.32,24221.28,24090.16,24159.09,418484
2024-12-26,24227.35,24294.66,24163.74,24196.3,559918
2024-12-27,24056.49,24128.97,24022.26,24101.02,297934
2024-12-30,24128.07,24152.73,24106.11,24143.67,583724
2024-12-31,24139.1,24147.6,24096.05,24147.24,179745
2025-01-01,24060.74,24082.29,23991.25,24048.54,851587
2025-01-02,24059.76,24077.19,24043.79,24070.58,137915
2025-01-03,24026.77,24055.02,24026.56,24040.63,476437
2025-01-06,24169.08,24175.96,24101.24,24169.69,847160
2025-01-07,24206.57,24243.39,24160.9,24183.54,779523
2025-01-08,24317.05,24376.07,24282.87,24323.72,611786
2025-01-09,24411.89,24438.83,24354.16,24369.47,533044
2025-01-10,24325.13,24384.42,24294.13,24319.68,794507
2025-01-13,24330.06,24363.31,24319.32,24340.02,837301
2025-01-14,24348.06,24399.48,24313.54,24356.61,822122
2025-01-15,24397.12,24421.47,24370.29,24410.46,374318
2025-01-16,24332.17,24366.97,24264.89,24318.8,375747
2025-01-17,24299.9,24352.11,24299.26,24305.69,546447
2025-01-20,24269.75,24310.21,24229.83,24273.0,776147
2025-01-21,24276.53,24340.37,24261.25,24289.22,700237
2025-01-22,24339.74,24373.18,24280.57,24303.27,799665
2025-01-23,24286.71,24357.0,24268.34,24324.94,293370
2025-01-24,24360.65,24401.14,24290.4,24367.41,396974
2025-01-27,24366.76,24421.34,24313.57,24358.96,621094
2025-01-28,24414.21,24452.37,24363.76,24407.77,185929
2025-01-29,24387.61,24427.27,24335.51,24386.78,634393
2025-01-30,24379.38,24413.83,24337.96,24364.22,770169
2025-01-31,24391.91,24445.86,24372.59,24386.83,556913
2025-02-03,24396.61,24417.41,24370.13,24400.61,341099
2025-02-04,24322.84,24361.28,24308.09,24343.64,754138
2025-02-05,24486.31,24517.58,24455.04,24479.53,621275
2025-02-06,24401.35,24456.21,24359.85,24423.25,356761
2025-02-07,24293.34,24334.4,24227.71,24333.91,265945
2025-02-10,24423.28,24484.72,24364.41,24403.93,304708
2025-02-11,24432.31,24471.5,24377.72,24437.62,430454
2025-02-12,24453.44,24482.53,24400.66,24463.23,773266
2025-02-13,24423.46,24485.75,24377.94,24427.4,699040
2025-02-14,24342.73,24394.87,24299.66,24345.5,825273
2025-02-17,24327.92,24334.84,24320.85,24334.35,124775
2025-02-18,24329.9,24347.43,24301.17,24333.6,250646
2025-02-19,24341.21,24353.86,24318.12,24336.35,582095
2025-02-20,24341.34,24391.53,24276.53,24343.97,171717
2025-02-21,24431.09,24477.94,24394.43,24420.42,305370
2025-02-24,24406.62,24443.67,24290.56,24356.55,286589
2025-02-25,24264.06,24310.88,24235.38,24244.07,523702
2025-02-26,24232.96,24259.2,24177.06,24223.27,519780
2025-02-27,24127.53,24181.8,24078.2,24125.3,849545
2025-02-28,23970.82,24018.23,23929.65,23963.08,654664
2025-03-03,24072.63,24084.48,24031.11,24056.44,549314
2025-03-04,24078.35,24107.29,24025.36,24069.12,820124
2025-03-05,24057.41,24089.17,23969.68,24033.51,603469
2025-03-06,24034.0,24081.35,23989.07,24012.05,803532
2025-03-07,24114.87,24129.74,24088.49,24118.65,136170
2025-03-10,24179.16,24217.15,24144.14,24188.45,826148
2025-03-11,24254.4,24296.08,24222.73,24244.32,633186
2025-03-12,24299.95,24320.25,24215.8,24266.17,451446
2025-03-13,24182.87,24253.23,24124.5,24204.39,731017
2025-03-14,24208.05,24253.77,24153.48,24198.87,635080
2025-03-17,24143.16,24162.8,24106.8,24144.13,880824
2025-03-18,24265.0,24297.54,24225.06,24267.91,580837
2025-03-19,24202.77,24241.38,24195.06,24207.12,706240
2025-03-20,24162.18,24191.8,24118.29,24130.74,247324
2025-03-21,24056.44,24065.02,24031.31,24034.76,842500
2025-03-24,24088.13,24102.76,24032.11,24084.89,256519
2025-03-25,23976.71,24052.49,23971.51,23986.84,142263
2025-03-26,24044.03,24065.46,23991.59,24025.37,447264
2025-03-27,24051.86,24092.74,23980.35,24044.56,105162
2025-03-28,24025.71,24054.03,23978.25,24034.21,530538
2025-03-31,24177.73,24194.99,24145.27,24185.85,539456
2025-04-01,24160.41,24231.88,24139.25,24155.01,577442
2025-04-02,24153.71,24199.99,24136.49,24186.82,514528
2025-04-03,24111.78,24146.5,24076.86,24114.68,710366
2025-04-04,24063.24,24081.44,24025.09,24068.77,700533
2025-04-07,24104.77,24137.49,24077.94,24116.02,770880
2025-04-08,24085.77,24113.59,24062.13,24071.7,857005
2025-04-09,24056.48,24092.15,24053.72,24071.63,542681
2025-04-10,24119.73,24158.99,24092.02,24114.94,128187
2025-04-11,24114.1,24186.02,24097.92,24121.83,438751
2025-04-14,24091.09,24121.93,24036.23,24098.92,670231
2025-04-15,24094.35,24158.86,24034.76,24104.14,515963
2025-04-16,24036.52,24053.65,23969.32,23979.23,844677
2025-04-17,23966.52,24004.77,23931.3,23964.46,572136
2025-04-18,24013.6,24048.24,23932.05,24030.22,647843
